ID;INEP;NOME;ENDERECO;MUNICIPIO;UF;GRE
110bb708-ed9b-4558-b3d4-48739b5b2597;25048880;EEEM SENADOR JOSE GAUDENCIO;RUA BOAVENTURA CAVALCANTE NETO, 79 CENTRO. 58580-000 Serra Branca - PB.;Serra Branca;PB;05ª GRE (Monteiro)
054e1135-6526-413a-ba35-f212bbafefd4;25049372;ECI MANOEL HONORATO SOBRINHO;RUA PROJETADA, SN CENTRO. 58588-000 Coxixola - PB.;Coxixola;PB;05ª GRE (Monteiro)
37aa1fcb-d94a-4af5-8d9e-dff5bab0dfb5;25049496;ECIT JOSE GONCALVES DE QUEIROZ;RUA PROFESSORA GUIOMAR COELHO, 201 PEDREGAL. 58540-000 Sumé - PB.;Sumé;PB;05ª GRE (Monteiro)
a9259ca6-ddc3-4c9d-8a55-45691ba5ddd1;25049640;ECI DE AMPARO;RUA VEREADOR CICERO SOARES, 62 CENTRO. 58548-000 Amparo - PB.;Amparo;PB;05ª GRE (Monteiro)
7b5052a6-8da1-40e8-a075-6a4899e5aaa8;25050427;ECI JOAO ROGERIO DIAS TOLEDO;RUA CANDIDO PEREIRA BRITO, SN ESCOLA. CONJUNTO HABITACIONAL JOSE DE ASSIS PIMENTA. 58685-000 Assunção - PB.;Assunção;PB;03ª GRE (Campina Grande)
3a2aa645-c61c-4bc1-b5e8-ce31d83a9012;25050435;ECIT MELQUIADES VILAR;RUA ISMENIA MACHADO, 38 SANTO ANTONIO. 58680-000 Taperoá - PB.;Taperoá;PB;03ª GRE (Campina Grande)
4cdb17d7-9ba5-482f-9e4b-53f738003aa3;25050486;EEEFM FELIX DALTRO;PRACA JOAO PESSOA, 200 CENTRO. 58680-000 Taperoá - PB.;Taperoá;PB;03ª GRE (Campina Grande)
d57117bb-308a-46fd-bf6a-922bebc205e0;25051296;ECI MELQUIADES TEJO;RUA TENENTE PEDROSA, 161 CENTRO. 58483-000 Barra de São Miguel - PB.;Barra de São Miguel;PB;15ª GRE (Queimadas)
6beb7466-fcb3-4cd1-be25-df5940c07430;25051580;ECIT CONSELHEIRO JOSE BRAZ DO REGO;AV NOSSA SENHORA DO DESTERRO, NULL CENTRO. 58450-000 Boqueirão - PB.;Boqueirão;PB;03ª GRE (Campina Grande)
a5e2606e-0ec9-45be-aad8-37ac7d6066b6;25051598;ECIT PROFESSORA MARIA CECILIA DE CASTRO;AVENIDA SAO JOSE, 523 PREDIO. CENTRO. 58460-000 Alcantil - PB.;Alcantil;PB;15ª GRE (Queimadas)
ed576b67-8d8c-44c1-967d-1f763e786f86;25051652;EEEF PROFESSORA TEREZINHA LEAL;DISTRITO DO MARINHO, MARINHO. 58450-000 Boqueirão - PB.;Boqueirão;PB;15ª GRE (Queimadas)
9e607fee-b79e-498f-9423-4021ac9ce589;25051660;ECI ANA FERREIRA DA COSTA;PRACA SANTO ANTONIO, 80 CENTRO. 58465-000 Riacho de Santo Antônio - PB.;Riacho de Santo Antônio;PB;03ª GRE (Campina Grande)
bdfdba95-7a68-4a0c-94c9-fc3dfc303751;25052497;ECI ALMIRANTE ANTONIO HERACLITO DO REGO;RUA ELVIRA AMORIM, SN CENTRO. 58458-000 Barra de Santana - PB.;Barra de Santana;PB;03ª GRE (Campina Grande)
f03e5222-566c-4618-9a8b-c41c6560d4a5;25052802;ECI FELIX ARAUJO;RUA JOAO QUEIROGA, SN CENTRO. 58455-000 Caturité - PB.;Caturité;PB;03ª GRE (Campina Grande)
c6369de1-e150-4f48-89ba-7b899a28938d;25053124;ECIT ALCIDES BEZERRA;RUA PRACA GENERAL JOSE PESSOA, 80 ESCOLA. CENTRO HISTORICO. 58480-000 Cabaceiras - PB.;Cabaceiras;PB;03ª GRE (Campina Grande)
